chunk_id,n_samples,r2,mae,rmse,status
0,434751,0.9750656363682246,0.07326007056878076,0.09811101989821462,ok
1,210003,,,,skipped_too_small
2,10652,,,,skipped_too_small
4,637479,0.9700372432187067,0.08782295713227906,0.11701778156934683,ok
5,659314,0.9746401214838923,0.0765264359671318,0.10885748447301961,ok
6,555582,0.9629108869382771,0.0939263307302946,0.12897682421996068,ok
7,203067,,,,skipped_too_small
8,474016,0.9845815307600072,0.06482273951646776,0.08840672809160595,ok
9,658970,0.973222637553413,0.07287324458467054,0.10481152387656174,ok
10,659659,0.9641702155007567,0.08335667896420208,0.11667198231128965,ok
11,525032,0.9383721370105076,0.09645753113511095,0.12939104891486755,ok
12,9279,,,,skipped_too_small
13,299077,,,,skipped_too_small
14,557711,0.9574529677955707,0.0891165983265099,0.12119074980687644,ok
15,105408,,,,skipped_too_small
